"","id","Datum","Warengruppe","Umsatz","Bewoelkung","Temperatur","Windgeschwindigkeit","Wettercode","KielerWoche","Datum.Feiertag","Ferien"
"54",1308231,2013-08-23,1,162.958958703106,1,22.0375,14,NA,NA,NA,NA
"55",1308241,2013-08-24,1,201.543109556297,0,20.85,16,5,NA,NA,NA
"56",1308251,2013-08-25,1,83.0226725739551,0,21.3875,16,5,NA,NA,NA
"57",1308261,2013-08-26,1,165.829031676714,0,20.125,15,5,NA,NA,NA
"58",1308271,2013-08-27,1,118.473650434102,1,21.0875,12,NA,NA,NA,NA
"59",1308281,2013-08-28,1,108.876991442649,0,21.3,7,NA,NA,NA,NA
"60",1308291,2013-08-29,1,178.178023803315,3,20.2125,11,NA,NA,NA,NA
"61",1308301,2013-08-30,1,133.150828452892,6,19.7875,8,5,NA,NA,NA
"62",1308311,2013-08-31,1,130.821314898435,5,18.35,16,21,NA,NA,NA
"63",1309011,2013-09-01,1,95.9704314892471,7,15.8625,16,61,NA,NA,NA
"64",1309021,2013-09-02,1,138.408723210465,7,16.575,17,63,NA,NA,NA
"65",1309031,2013-09-03,1,138.825618927843,7,18.225,11,21,NA,NA,NA
"66",1309041,2013-09-04,1,100.221969526295,7,18.125,5,NA,NA,NA,NA
"67",1309051,2013-09-05,1,173.658100347255,0,21.7,8,NA,NA,NA,NA
"68",1309061,2013-09-06,1,171.415179710314,0,24.7,9,NA,NA,NA,NA
"69",1309071,2013-09-07,1,186.034060963767,6,22.7625,7,NA,NA,NA,NA
"70",1309081,2013-09-08,1,88.8925958109828,7,20.1625,8,61,NA,NA,NA
"71",1309091,2013-09-09,1,169.359968504942,8,11.575,11,63,NA,NA,NA
"72",1309101,2013-09-10,1,89.6944536084346,6,13.5875,11,65,NA,NA,NA
"73",1309111,2013-09-11,1,103.363686559795,6,13.9,8,61,NA,NA,NA
"74",1309121,2013-09-12,1,106.474399987548,6,16.1125,6,61,NA,NA,NA
"75",1309131,2013-09-13,1,122.564626199915,6,17.4375,5,21,NA,NA,NA
"76",1309141,2013-09-14,1,174.938807466572,5,17.625,10,63,NA,NA,NA
"77",1309151,2013-09-15,1,55.1960062296304,7,14.8625,10,21,NA,NA,NA
"78",1309161,2013-09-16,1,146.760234890658,3,13.1375,13,21,NA,NA,NA
"79",1309171,2013-09-17,1,136.118044538363,5,13.1375,10,63,NA,NA,NA
"80",1309181,2013-09-18,1,152.255085210606,4,13.05,9,NA,NA,NA,NA
"81",1309191,2013-09-19,1,148.674992078993,5,14.8375,11,63,NA,NA,NA
"82",1309201,2013-09-20,1,110.159250328825,7,13.525,6,NA,NA,NA,NA
"83",1309211,2013-09-21,1,178.263887943827,7,15.35,9,NA,NA,NA,NA
"84",1309221,2013-09-22,1,86.6668973821597,6,17.1375,14,21,NA,NA,NA
"85",1309231,2013-09-23,1,111.128410563554,7,17.3125,14,21,NA,NA,NA
"86",1309241,2013-09-24,1,139.64144576808,8,15.7375,10,NA,NA,NA,NA
"87",1309251,2013-09-25,1,117.94119333604,6,13.5375,7,61,NA,NA,NA
"88",1309261,2013-09-26,1,203.314345156607,1,12.9875,12,NA,NA,NA,NA
"89",1309271,2013-09-27,1,135.507291692088,5,13.0125,8,21,NA,NA,NA
"90",1309281,2013-09-28,1,134.613756840197,0,13.1,8,NA,NA,NA,NA
"91",1309291,2013-09-29,1,68.6316896995448,3,14.175,12,NA,NA,NA,NA
"92",1309301,2013-09-30,1,156.502435955326,1,12.825,14,NA,NA,NA,NA
"93",1310011,2013-10-01,1,123.397540137977,0,12.9125,13,5,NA,NA,NA
"94",1310021,2013-10-02,1,196.720969158391,1,12.7,10,NA,NA,NA,NA
"95",1310031,2013-10-03,1,75.2337302417469,0,11.7625,12,5,NA,NA,NA
"96",1310041,2013-10-04,1,156.066122625816,5,11.2,8,63,NA,NA,"Herbstferien"
"97",1310051,2013-10-05,1,152.280762053885,7,15.575,8,20,NA,NA,"Herbstferien"
"98",1310061,2013-10-06,1,92.4805772695364,7,15.25,6,NA,NA,NA,"Herbstferien"
"99",1310071,2013-10-07,1,124.841544023845,1,16.275,7,NA,NA,NA,"Herbstferien"
"100",1310081,2013-10-08,1,96.867100978839,6,15.1125,8,61,NA,NA,"Herbstferien"
"101",1310091,2013-10-09,1,149.761758936995,7,14.3125,10,21,NA,NA,"Herbstferien"
"102",1310101,2013-10-10,1,119.300284972145,5,10.975,6,NA,NA,NA,"Herbstferien"
"103",1310111,2013-10-11,1,123.2348187168,7,13.8625,20,10,NA,NA,"Herbstferien"
"104",1310121,2013-10-12,1,140.262421715801,8,13.025,21,63,NA,NA,"Herbstferien"
"105",1310131,2013-10-13,1,42.9967926268111,5,10.8625,5,NA,NA,NA,"Herbstferien"
"106",1310141,2013-10-14,1,109.863744271226,2,12.525,6,NA,NA,NA,"Herbstferien"
"107",1310151,2013-10-15,1,130.431802598324,7,10.6625,4,63,NA,NA,"Herbstferien"
"108",1310161,2013-10-16,1,146.070583461057,8,12.275,7,NA,NA,NA,"Herbstferien"
"109",1310171,2013-10-17,1,89.9411837855476,7,12,15,65,NA,NA,"Herbstferien"
"110",1310181,2013-10-18,1,111.233698203856,1,9.075,9,NA,NA,NA,"Herbstferien"
"111",1310191,2013-10-19,1,121.590860465012,7,9.45,9,NA,NA,NA,NA
"112",1310201,2013-10-20,1,70.1419855298474,7,15.1875,8,21,NA,NA,NA
"113",1310211,2013-10-21,1,122.987868193302,7,14.2625,8,61,NA,NA,NA
"114",1310221,2013-10-22,1,111.927088663048,2,17.6375,7,NA,NA,NA,NA
"115",1310231,2013-10-23,1,125.816016210178,6,17.675,9,NA,NA,NA,NA
"116",1310241,2013-10-24,1,123.163406361057,5,12.6875,12,61,NA,NA,NA
"117",1310251,2013-10-25,1,113.661858634409,7,11.8875,7,61,NA,NA,NA
"118",1310261,2013-10-26,1,161.678805315967,5,16.775,10,21,NA,NA,NA
"119",1310271,2013-10-27,1,102.355195816072,6,14.9875,16,65,NA,NA,NA
"120",1310281,2013-10-28,1,129.482192717092,7,14.3625,29,63,NA,NA,NA
"121",1310291,2013-10-29,1,112.285893935052,7,10.775,17,63,NA,NA,NA
"122",1310301,2013-10-30,1,121.506077008915,6,10.4375,10,61,NA,NA,NA
"123",1310311,2013-10-31,1,133.723541287582,5,11.1625,13,21,NA,NA,NA
"124",1311011,2013-11-01,1,100.182160485504,8,10.625,9,63,NA,NA,NA
"125",1311021,2013-11-02,1,149.172348030766,8,8.8875,3,63,NA,NA,NA
"126",1311031,2013-11-03,1,97.4532740046654,6,10.7,15,21,NA,NA,NA
"127",1311041,2013-11-04,1,137.864260444157,7,6.8375,7,63,NA,NA,NA
"128",1311051,2013-11-05,1,103.700267261952,4,8.9,12,61,NA,NA,NA
"129",1311061,2013-11-06,1,109.097001107423,4,8.1375,12,63,NA,NA,NA
"130",1311071,2013-11-07,1,118.470603286455,6,9.5,10,61,NA,NA,NA
"131",1311081,2013-11-08,1,132.796244239256,3,9.325,9,NA,NA,NA,NA
"132",1311091,2013-11-09,1,99.9317959514759,5,7.7,16,63,NA,NA,NA
"133",1311101,2013-11-10,1,108.561660295105,2,6.9875,12,63,NA,NA,NA
"134",1311111,2013-11-11,1,124.580485617569,2,8.3125,5,NA,NA,NA,NA
"135",1311121,2013-11-12,1,111.970870543294,7,5.9375,9,61,NA,NA,NA
"136",1311131,2013-11-13,1,78.0382483442215,1,8.8,12,0,NA,NA,NA
"137",1311141,2013-11-14,1,121.180219705286,5,6.9375,9,21,NA,NA,NA
"138",1311151,2013-11-15,1,122.76929773359,7,6.45,6,21,NA,NA,NA
"139",1311161,2013-11-16,1,126.793397398979,8,8.875,12,NA,NA,NA,NA
"140",1311171,2013-11-17,1,74.3945185864517,2,8.8875,8,0,NA,NA,NA
"141",1311181,2013-11-18,1,129.109032642028,7,6.65,5,63,NA,NA,NA
"142",1311191,2013-11-19,1,106.906118646237,8,5.8375,8,61,NA,NA,NA
"143",1311201,2013-11-20,1,124.324612351715,6,3.85,6,NA,NA,NA,NA
"144",1311211,2013-11-21,1,144.359927455555,2,3.275,8,10,NA,NA,NA
"145",1311221,2013-11-22,1,107.962731413831,7,5.375,10,21,NA,NA,NA
"146",1311231,2013-11-23,1,96.5196766761341,3,4.9125,6,NA,NA,NA,NA
"147",1311241,2013-11-24,1,76.4120061231823,0,4.6,16,NA,NA,NA,NA
"148",1311251,2013-11-25,1,129.81992805086,0,3.7,10,NA,NA,NA,NA
"149",1311261,2013-11-26,1,123.431703158233,2,2.3125,6,NA,NA,NA,NA
"150",1311271,2013-11-27,1,93.5321454303922,8,7.3125,12,61,NA,NA,NA
"151",1311281,2013-11-28,1,128.842426194061,2,8.025,18,NA,NA,NA,NA
"152",1311291,2013-11-29,1,104.966463375073,8,5.9875,11,63,NA,NA,NA
"153",1311301,2013-11-30,1,104.09003869481,7,5.525,10,20,NA,NA,NA
"154",1312011,2013-12-01,1,68.0762231823542,5,8.6625,20,61,NA,NA,NA
"155",1312021,2013-12-02,1,113.931498716313,0,3.0625,4,10,NA,NA,NA
"156",1312031,2013-12-03,1,94.7658652080226,8,1.7125,6,28,NA,NA,NA
"157",1312041,2013-12-04,1,128.922855106228,7,5.85,11,63,NA,NA,NA
"158",1312051,2013-12-05,1,120.974699669869,7,4.4625,24,63,NA,NA,NA
"159",1312061,2013-12-06,1,112.015650593347,6,1.7875,25,73,NA,NA,NA
"160",1312071,2013-12-07,1,121.408564819885,5,1,11,22,NA,NA,NA
"161",1312081,2013-12-08,1,36.2650169585334,8,6.975,16,63,NA,NA,NA
"162",1312091,2013-12-09,1,134.680550018524,7,9.2375,10,45,NA,NA,NA
"163",1312101,2013-12-10,1,104.352034970751,7,7.1875,8,61,NA,NA,NA
"164",1312111,2013-12-11,1,85.9079819233536,7,5.025,9,10,NA,NA,NA
"165",1312121,2013-12-12,1,88.2075449690532,8,2.525,8,28,NA,NA,NA
"166",1312131,2013-12-13,1,85.5324935340658,7,3.5375,6,61,NA,NA,NA
"167",1312141,2013-12-14,1,120.787742012371,7,3.0125,7,61,NA,NA,NA
"168",1312151,2013-12-15,1,71.5352172710921,8,7.925,12,61,NA,NA,NA
"169",1312161,2013-12-16,1,120.791211521354,8,8.775,12,NA,NA,NA,NA
"170",1312171,2013-12-17,1,74.6283250889016,8,4.95,8,61,NA,NA,NA
"171",1312181,2013-12-18,1,86.4115250991858,7,6.85,8,10,NA,NA,NA
"172",1312191,2013-12-19,1,101.589644453608,7,7.4,10,63,NA,NA,NA
"173",1312201,2013-12-20,1,114.601001275823,7,5.2875,10,61,NA,NA,NA
"174",1312211,2013-12-21,1,124.541759682586,8,6.5625,13,63,NA,NA,NA
"175",1312221,2013-12-22,1,41.7300439888931,7,8.1375,12,61,NA,NA,NA
"176",1312231,2013-12-23,1,183.608991270752,3,5.4875,10,NA,NA,NA,"Weihnachtsferien"
"177",1312241,2013-12-24,1,220.330670230618,7,11.4375,18,61,NA,NA,"Weihnachtsferien"
"178",1312271,2013-12-27,1,152.367434643543,7,5.7625,15,63,NA,NA,"Weihnachtsferien"
"179",1312291,2013-12-29,1,131.267289010755,7,5.7125,9,63,NA,NA,"Weihnachtsferien"
"180",1312301,2013-12-30,1,126.58984459848,4,4.75,11,10,NA,NA,"Weihnachtsferien"
"181",1312311,2013-12-31,1,211.390838466052,4,5.0375,7,NA,NA,NA,"Weihnachtsferien"
"182",1401021,2014-01-02,1,153.166492227541,7,6.25,9,63,NA,NA,"Weihnachtsferien"
"183",1401031,2014-01-03,1,109.484763536521,7,6.8375,10,63,NA,NA,"Weihnachtsferien"
"184",1401041,2014-01-04,1,116.250540066432,5,6.9375,11,NA,NA,NA,"Weihnachtsferien"
"185",1401051,2014-01-05,1,67.7899909491401,7,6.1875,11,63,NA,NA,"Weihnachtsferien"
"186",1401061,2014-01-06,1,146.911067784297,7,7.9125,11,65,NA,NA,"Weihnachtsferien"
"187",1401071,2014-01-07,1,147.5457609484,7,10.4375,13,NA,NA,NA,NA
"188",1401081,2014-01-08,1,99.9068767897401,7,8.6375,15,63,NA,NA,NA
"189",1401091,2014-01-09,1,113.541525918277,7,9.6125,16,61,NA,NA,NA
"190",1401101,2014-01-10,1,119.05554059635,7,6.6375,17,61,NA,NA,NA
"191",1401111,2014-01-11,1,127.95986526115,7,5.5875,18,63,NA,NA,NA
"192",1401121,2014-01-12,1,83.4017498521773,2,5.525,16,21,NA,NA,NA
"193",1401131,2014-01-13,1,103.994034974792,8,3.1375,10,69,NA,NA,NA
"194",1401141,2014-01-14,1,166.347532764571,6,4.225,6,28,NA,NA,NA
"195",1401151,2014-01-15,1,139.042567223334,7,3.228571,7,28,NA,NA,NA
"196",1401161,2014-01-16,1,117.779119691395,8,2.7375,9,63,NA,NA,NA
"197",1401171,2014-01-17,1,94.7938386484339,7,6.7375,4,61,NA,NA,NA
"198",1401181,2014-01-18,1,102.633649837911,7,5.8875,8,61,NA,NA,NA
"199",1401191,2014-01-19,1,53.0014671833047,7,2.8625,19,10,NA,NA,NA
"200",1401201,2014-01-20,1,99.6819363621683,8,0.3875,13,61,NA,NA,NA
"201",1401211,2014-01-21,1,116.784600007305,7,-0.65,7,77,NA,NA,NA
"202",1401221,2014-01-22,1,102.344424741026,8,-3.1125,14,22,NA,NA,NA
"203",1401231,2014-01-23,1,105.740276056438,8,-3.1875,11,22,NA,NA,NA
"204",1401241,2014-01-24,1,143.164448746188,2,-5.1625,13,10,NA,NA,NA
"205",1401251,2014-01-25,1,129.09233380561,5,-7.0375,8,NA,NA,NA,NA
"206",1401261,2014-01-26,1,65.4883238458282,1,-8.475,10,10,NA,NA,NA
"207",1401271,2014-01-27,1,177.797639286942,5,0.7,9,69,NA,NA,NA
"208",1401281,2014-01-28,1,63.9844736113181,7,-0.2625,10,10,NA,NA,NA
"209",1401291,2014-01-29,1,75.1156293987916,7,-5.05,13,77,NA,NA,NA
"210",1401301,2014-01-30,1,140.794194214435,7,-4.4875,8,77,NA,NA,NA
"211",1401311,2014-01-31,1,133.303478983532,8,-3.6875,7,10,NA,NA,NA
"212",1402011,2014-02-01,1,101.932146850505,7,3.225,10,63,NA,NA,NA
"213",1402021,2014-02-02,1,76.7574943519772,0,5.4875,8,NA,NA,NA,NA
"214",1402031,2014-02-03,1,154.323103655617,1,3.475,8,10,NA,NA,NA
"215",1402041,2014-02-04,1,130.284962020954,5,3.925,6,10,NA,NA,NA
"216",1402051,2014-02-05,1,128.512982776585,4,3.675,8,10,NA,NA,NA
"217",1402061,2014-02-06,1,93.2145715747619,7,7.875,11,20,NA,NA,NA
"218",1402071,2014-02-07,1,99.7607356052368,7,8.475,15,63,NA,NA,NA
"219",1402081,2014-02-08,1,120.862739831777,7,6.2875,12,61,NA,NA,NA
"220",1402091,2014-02-09,1,57.0074894928223,5,6.7125,15,63,NA,NA,NA
"221",1402101,2014-02-10,1,154.183743327497,2,6.6375,9,NA,NA,NA,NA
"222",1402111,2014-02-11,1,93.6050031862626,7,4.925,12,61,NA,NA,NA
"223",1402121,2014-02-12,1,165.738384661521,4,6.1,13,10,NA,NA,NA
"224",1402131,2014-02-13,1,112.481302733138,5,7.45,13,NA,NA,NA,NA
"225",1402141,2014-02-14,1,127.922310495651,5,5.2125,9,10,NA,NA,NA
"226",1402151,2014-02-15,1,169.517528839106,5,11.5,15,NA,NA,NA,NA
"227",1402161,2014-02-16,1,66.1488570531461,7,6.0625,17,63,NA,NA,NA
"228",1402171,2014-02-17,1,139.563931976797,0,6.6875,9,NA,NA,NA,NA
"229",1402181,2014-02-18,1,101.128808084497,7,7.8,8,10,NA,NA,NA
"230",1402191,2014-02-19,1,139.712963296062,7,6.325,8,61,NA,NA,NA
"231",1402201,2014-02-20,1,115.493305434483,6,9.1,11,10,NA,NA,NA
"232",1402211,2014-02-21,1,195.749507104036,7,7.5125,11,61,NA,NA,NA
"233",1402221,2014-02-22,1,138.333592943018,7,5.925,11,21,NA,NA,NA
"234",1402231,2014-02-23,1,79.4422222430818,1,8.625,12,NA,NA,NA,NA
"235",1402241,2014-02-24,1,152.556733984074,1,9.4125,11,NA,NA,NA,NA
"236",1402251,2014-02-25,1,115.741936459404,1,10.475,7,NA,NA,NA,NA
"237",1402261,2014-02-26,1,95.0173566075507,5,10.1875,8,NA,NA,NA,NA
"238",1402271,2014-02-27,1,142.599019478366,1,8.8875,7,10,NA,NA,NA
"239",1402281,2014-02-28,1,121.868073185287,7,6.1875,6,61,NA,NA,NA
"240",1403011,2014-03-01,1,140.96854447309,2,5.075,9,10,NA,NA,NA
"241",1403021,2014-03-02,1,78.304687930775,6,6.5625,9,10,NA,NA,NA
"242",1403031,2014-03-03,1,123.816845981151,0,9.1875,10,5,NA,NA,NA
"243",1403041,2014-03-04,1,110.664379295042,7,6.6875,7,10,NA,NA,NA
"244",1403051,2014-03-05,1,104.010771805795,7,4.6875,7,28,NA,NA,NA
"245",1403061,2014-03-06,1,119.64957040592,3,8.925,9,10,NA,NA,NA
"246",1403071,2014-03-07,1,115.297355656246,6,11.275,10,5,NA,NA,NA
"247",1403081,2014-03-08,1,116.679903321343,0,9.9375,6,NA,NA,NA,NA
"248",1403091,2014-03-09,1,92.618539664325,0,16.4,9,NA,NA,NA,NA
"249",1403101,2014-03-10,1,150.516891177572,0,15.8,9,NA,NA,NA,NA
"250",1403111,2014-03-11,1,151.221168841794,0,7.85,9,NA,NA,NA,NA
"251",1403121,2014-03-12,1,91.0474158512995,0,10.2125,8,0,NA,NA,NA
"252",1403131,2014-03-13,1,141.400369720196,0,13.375,10,NA,NA,NA,NA
"253",1403141,2014-03-14,1,123.912083680615,1,9.6125,10,NA,NA,NA,NA
"254",1403151,2014-03-15,1,137.683942432828,4,9.0375,27,NA,NA,NA,NA
"255",1403161,2014-03-16,1,67.1675793738149,7,9.3375,24,61,NA,NA,NA
"256",1403171,2014-03-17,1,141.547905542998,7,9.5875,18,61,NA,NA,NA
"257",1403181,2014-03-18,1,88.2250444509535,7,9.6875,16,21,NA,NA,NA
"258",1403191,2014-03-19,1,99.6845823880711,7,9.45,18,61,NA,NA,NA
"259",1403201,2014-03-20,1,128.138232106811,0,16.2625,13,NA,NA,NA,NA
"260",1403211,2014-03-21,1,104.8547456835,7,6.8875,14,63,NA,NA,NA
"261",1403221,2014-03-22,1,130.851901605861,5,8.85,11,63,NA,NA,NA
"262",1403231,2014-03-23,1,71.128447822127,4,8.3625,10,NA,NA,NA,NA
"263",1403241,2014-03-24,1,174.642338237835,3,7.5625,7,NA,NA,NA,NA
"264",1403251,2014-03-25,1,130.828394911681,2,7.725,10,21,NA,NA,NA
"265",1403261,2014-03-26,1,164.073709880608,5,7.85,11,21,NA,NA,NA
"266",1403271,2014-03-27,1,217.595707302914,6,5.1,12,NA,NA,NA,NA
"267",1403281,2014-03-28,1,210.364589078685,8,5.4,12,10,NA,NA,NA
"268",1403291,2014-03-29,1,201.442576014825,3,9.375,8,10,NA,NA,NA
"269",1403301,2014-03-30,1,77.0718729480323,0,11.2625,8,28,NA,NA,NA
"270",1403311,2014-03-31,1,165.782083579859,7,7.4375,4,45,NA,NA,NA
"271",1404011,2014-04-01,1,143.934571968464,8,5.7625,13,10,NA,NA,NA
"272",1404021,2014-04-02,1,145.793768476637,2,12.45,8,10,NA,NA,NA
"273",1404031,2014-04-03,1,199.334213779063,3,7.6125,15,10,NA,NA,NA
"274",1404041,2014-04-04,1,149.094869799179,6,6.45,15,0,NA,NA,NA
"275",1404051,2014-04-05,1,166.366651532902,8,9.825,5,61,NA,NA,NA
"276",1404061,2014-04-06,1,79.4656989548114,7,12.1875,8,63,NA,NA,NA
"277",1404071,2014-04-07,1,175.863088463562,7,15.7875,10,63,NA,NA,NA
"278",1404081,2014-04-08,1,104.711261779938,7,9.8125,19,61,NA,NA,NA
"279",1404091,2014-04-09,1,168.945582350845,7,10.1875,20,21,NA,NA,NA
"280",1404101,2014-04-10,1,153.689913112803,7,9.75,4,NA,NA,NA,NA
"281",1404111,2014-04-11,1,150.197974521935,6,12.0625,10,NA,NA,NA,NA
"282",1404121,2014-04-12,1,230.41912840806,4,11.2,12,0,NA,NA,NA
"283",1404131,2014-04-13,1,106.9717520005,6,11.0125,21,NA,NA,NA,NA
"284",1404141,2014-04-14,1,126.41212420811,5,8.9,23,61,NA,NA,NA
"285",1404151,2014-04-15,1,109.472548649702,0,9.9125,15,NA,NA,NA,NA
"286",1404161,2014-04-16,1,110.647041867212,0,11.3625,9,NA,NA,NA,"Osterferien"
"287",1404171,2014-04-17,1,259.250121969818,5,14.4,14,NA,NA,NA,"Osterferien"
"288",1404191,2014-04-19,1,290.428956680919,1,11.125,13,5,NA,NA,"Osterferien"
"289",1404201,2014-04-20,1,57.7509189177541,0,13.875,15,5,NA,NA,"Osterferien"
"290",1404211,2014-04-21,1,109.431179378053,4,13.425,15,0,NA,NA,"Osterferien"
"291",1404221,2014-04-22,1,169.196248011103,3,15.45,10,10,NA,NA,"Osterferien"
"292",1404231,2014-04-23,1,162.980101956576,8,9.825,11,21,NA,NA,"Osterferien"
"293",1404241,2014-04-24,1,155.338780558714,8,9.175,11,NA,NA,NA,"Osterferien"
"294",1404251,2014-04-25,1,103.620395874603,0,13.5625,12,NA,NA,NA,"Osterferien"
"295",1404261,2014-04-26,1,143.988134045973,0,15.45,11,NA,NA,NA,"Osterferien"
"296",1404271,2014-04-27,1,67.5791269771508,0,16.225,16,NA,NA,NA,"Osterferien"
"297",1404281,2014-04-28,1,142.899118015523,0,15.8875,11,NA,NA,NA,"Osterferien"
"298",1404291,2014-04-29,1,145.382373304754,0,18.0875,8,0,NA,NA,"Osterferien"
"299",1404301,2014-04-30,1,168.447583367336,3,18,8,NA,NA,NA,"Osterferien"
"300",1405021,2014-05-02,1,194.877300541007,6,10.225,13,NA,NA,NA,"Osterferien"
"301",1405051,2014-05-05,1,344.712427419033,8,10.7125,6,21,NA,NA,NA
"302",1405061,2014-05-06,1,117.634364611904,7,15.775,9,NA,NA,NA,NA
"303",1405071,2014-05-07,1,90.0459392081919,4,14.2125,15,65,NA,NA,NA
"304",1405081,2014-05-08,1,149.299133313087,7,12.45,10,63,NA,NA,NA
"305",1405091,2014-05-09,1,93.4116822522153,6,12.3875,10,61,NA,NA,NA
"306",1405101,2014-05-10,1,123.724674602317,7,13.275,12,61,NA,NA,NA
"307",1405111,2014-05-11,1,61.0065824620734,7,11.5625,12,63,NA,NA,NA
"308",1405121,2014-05-12,1,117.63724487723,7,12.7,14,63,NA,NA,NA
"309",1405131,2014-05-13,1,140.036281903001,7,11.5625,15,21,NA,NA,NA
"310",1405141,2014-05-14,1,107.299783874075,7,11.5625,16,NA,NA,NA,NA
