"","X","id","Datum","Warengruppe","wochentag","jahreszeit","monat","Bewoelkung","Temperatur","Windgeschwindigkeit","Wettercode","KielerWoche","Feiertag","Ferien","Temperatur_labels"
"14",14,1808141,"2018-08-14",1,"Dienstag","Sommer",8,5,21.8,"Wind","RegenGewitter",FALSE,FALSE,TRUE,"sommerlich"
"15",15,1808151,"2018-08-15",1,"Mittwoch","Sommer",8,6,21.9875,"Wind","RegenGewitter",FALSE,FALSE,TRUE,"sommerlich"
"16",16,1808161,"2018-08-16",1,"Donnerstag","Sommer",8,3,25.075,"Brise","Trocken",FALSE,FALSE,TRUE,"sommerlich"
"17",17,1808171,"2018-08-17",1,"Freitag","Sommer",8,7,19.55,"Brise","RegenGewitter",FALSE,FALSE,TRUE,"moderat"
"18",18,1808181,"2018-08-18",1,"Samstag","Sommer",8,4,21.75,"Brise","RegenGewitter",FALSE,FALSE,TRUE,"sommerlich"
"19",19,1808191,"2018-08-19",1,"Sonntag","Sommer",8,7,21.3875,"Brise","RegenGewitter",FALSE,FALSE,FALSE,"sommerlich"
"20",20,1808201,"2018-08-20",1,"Montag","Sommer",8,6,19.6,"Wind","RegenGewitter",FALSE,FALSE,FALSE,"moderat"
"21",21,1808211,"2018-08-21",1,"Dienstag","Sommer",8,4,19.7875,"Brise","Trocken",FALSE,FALSE,FALSE,"moderat"
"22",22,1808221,"2018-08-22",1,"Mittwoch","Sommer",8,0,26.6375,"Brise","RegenGewitter",FALSE,FALSE,FALSE,"sommerlich"
"23",23,1808231,"2018-08-23",1,"Donnerstag","Sommer",8,5,22.575,"Wind","Trocken",FALSE,FALSE,FALSE,"sommerlich"
"24",24,1808241,"2018-08-24",1,"Freitag","Sommer",8,5,17.1,"Wind","RegenGewitter",FALSE,FALSE,FALSE,"moderat"
"25",25,1808251,"2018-08-25",1,"Samstag","Sommer",8,7,12.9,"Brise","RegenGewitter",FALSE,FALSE,FALSE,"moderat"
"26",26,1808261,"2018-08-26",1,"Sonntag","Sommer",8,3,16.9875,"Wind","RegenGewitter",FALSE,FALSE,FALSE,"moderat"
"27",27,1808271,"2018-08-27",1,"Montag","Sommer",8,6,16.5375,"Wind","RegenGewitter",FALSE,FALSE,FALSE,"moderat"
"28",28,1808281,"2018-08-28",1,"Dienstag","Sommer",8,6,18.6125,"Brise","RegenGewitter",FALSE,FALSE,FALSE,"moderat"
"29",29,1808291,"2018-08-29",1,"Mittwoch","Sommer",8,0,22.7,"Wind","Trocken",FALSE,FALSE,FALSE,"sommerlich"
"30",30,1808301,"2018-08-30",1,"Donnerstag","Sommer",8,7,15.4625,"Wind","RegenGewitter",FALSE,FALSE,FALSE,"moderat"
"31",31,1808311,"2018-08-31",1,"Freitag","Sommer",8,4,18.725,"Wind","Trocken",FALSE,FALSE,FALSE,"moderat"
"32",32,1809011,"2018-09-01",1,"Samstag","Herbst",9,2,18.1125,"Brise","Trocken",FALSE,FALSE,FALSE,"moderat"
"33",33,1809021,"2018-09-02",1,"Sonntag","Herbst",9,1,18.95,"Wind","Trocken",FALSE,FALSE,FALSE,"moderat"
"34",34,1809031,"2018-09-03",1,"Montag","Herbst",9,2,21.0125,"Wind","RegenGewitter",FALSE,FALSE,FALSE,"sommerlich"
"35",35,1809041,"2018-09-04",1,"Dienstag","Herbst",9,1,20.525,"Wind","Trocken",FALSE,FALSE,FALSE,"moderat"
"36",36,1809051,"2018-09-05",1,"Mittwoch","Herbst",9,2,20.2875,"Wind","Trocken",FALSE,FALSE,FALSE,"moderat"
"37",37,1809061,"2018-09-06",1,"Donnerstag","Herbst",9,0,21.275,"Wind","Trocken",FALSE,FALSE,FALSE,"sommerlich"
"38",38,1809071,"2018-09-07",1,"Freitag","Herbst",9,7,17.475,"Wind","RegenGewitter",FALSE,FALSE,FALSE,"moderat"
"39",39,1809081,"2018-09-08",1,"Samstag","Herbst",9,7,-0.075,"Wind","Trocken",FALSE,FALSE,FALSE,"eisig"
"40",40,1809091,"2018-09-09",1,"Sonntag","Herbst",9,7,2.925,"Brise","RegenGewitter",FALSE,FALSE,FALSE,"kalt"
"41",41,1809101,"2018-09-10",1,"Montag","Herbst",9,5,19.2375,"Wind","RegenGewitter",FALSE,FALSE,FALSE,"moderat"
"42",42,1809111,"2018-09-11",1,"Dienstag","Herbst",9,7,16.55,"Wind","RegenGewitter",FALSE,FALSE,FALSE,"moderat"
"43",43,1809121,"2018-09-12",1,"Mittwoch","Herbst",9,7,14.3,"Wind","RegenGewitter",FALSE,FALSE,FALSE,"moderat"
"44",44,1809131,"2018-09-13",1,"Donnerstag","Herbst",9,4,17.3375,"Brise","Trocken",FALSE,FALSE,FALSE,"moderat"
"45",45,1809141,"2018-09-14",1,"Freitag","Herbst",9,3,17.1125,"Brise","RegenGewitter",FALSE,FALSE,FALSE,"moderat"
"46",46,1809151,"2018-09-15",1,"Samstag","Herbst",9,6,20.3875,"Brise","Trocken",FALSE,FALSE,FALSE,"moderat"
"47",47,1809161,"2018-09-16",1,"Sonntag","Herbst",9,5,5.2125,"Wind","RegenGewitter",FALSE,FALSE,FALSE,"kalt"
"48",48,1809171,"2018-09-17",1,"Montag","Herbst",9,0,3.9125,"Wind","Trocken",FALSE,FALSE,FALSE,"kalt"
"49",49,1809181,"2018-09-18",1,"Dienstag","Herbst",9,3,12.7625,"Brise","Trocken",FALSE,FALSE,FALSE,"moderat"
"50",50,1809191,"2018-09-19",1,"Mittwoch","Herbst",9,5,4.9125,"Wind","RegenGewitter",FALSE,FALSE,FALSE,"kalt"
"51",51,1809201,"2018-09-20",1,"Donnerstag","Herbst",9,1,18.95,"Wind","Trocken",FALSE,FALSE,FALSE,"moderat"
"52",52,1809211,"2018-09-21",1,"Freitag","Herbst",9,6,14.957142,"Wind","RegenGewitter",FALSE,FALSE,FALSE,"moderat"
"53",53,1809221,"2018-09-22",1,"Samstag","Herbst",9,4,13.025,"Wind","RegenGewitter",FALSE,FALSE,FALSE,"moderat"
"54",54,1809231,"2018-09-23",1,"Sonntag","Herbst",9,6,11.65,"Brise","RegenGewitter",FALSE,FALSE,FALSE,"moderat"
"55",55,1809241,"2018-09-24",1,"Montag","Herbst",9,2,11.2875,"Wind","RegenGewitter",FALSE,FALSE,FALSE,"moderat"
"56",56,1809251,"2018-09-25",1,"Dienstag","Herbst",9,3,12.7625,"Brise","Trocken",FALSE,FALSE,FALSE,"moderat"
"57",57,1809261,"2018-09-26",1,"Mittwoch","Herbst",9,7,14.2375,"Wind","RegenGewitter",FALSE,FALSE,FALSE,"moderat"
"58",58,1809271,"2018-09-27",1,"Donnerstag","Herbst",9,7,17.6,"Wind","Trocken",FALSE,FALSE,FALSE,"moderat"
"59",59,1809281,"2018-09-28",1,"Freitag","Herbst",9,1,12.8625,"Wind","RegenGewitter",FALSE,FALSE,FALSE,"moderat"
"60",60,1809291,"2018-09-29",1,"Samstag","Herbst",9,6,13.1,"Brise","RegenGewitter",FALSE,FALSE,FALSE,"moderat"
"61",61,1809301,"2018-09-30",1,"Sonntag","Herbst",9,5,13.9625,"Wind","RegenGewitter",FALSE,FALSE,FALSE,"moderat"
"62",62,1810011,"2018-10-01",1,"Montag","Herbst",10,5,11.1625,"Wind","RegenGewitter",FALSE,FALSE,TRUE,"moderat"
"63",63,1810021,"2018-10-02",1,"Dienstag","Herbst",10,6,10,"Wind","RegenGewitter",FALSE,FALSE,TRUE,"kalt"
"64",64,1810031,"2018-10-03",1,"Mittwoch","Herbst",10,4,12.2875,"Wind","RegenGewitter",FALSE,TRUE,TRUE,"moderat"
"65",65,1810041,"2018-10-04",1,"Donnerstag","Herbst",10,7,14.2625,"Brise","RegenGewitter",FALSE,FALSE,TRUE,"moderat"
"66",66,1810051,"2018-10-05",1,"Freitag","Herbst",10,0,18.1125,"Brise","Trocken",FALSE,FALSE,TRUE,"moderat"
"67",67,1810061,"2018-10-06",1,"Samstag","Herbst",10,1,14.3375,"Brise","Trocken",FALSE,FALSE,TRUE,"moderat"
"68",68,1810071,"2018-10-07",1,"Sonntag","Herbst",10,1,11.4,"Brise","Trocken",FALSE,FALSE,TRUE,"moderat"
"69",69,1810081,"2018-10-08",1,"Montag","Herbst",10,5,13.0625,"Brise","Trocken",FALSE,FALSE,TRUE,"moderat"
"70",70,1810091,"2018-10-09",1,"Dienstag","Herbst",10,3,15.125,"Brise","Trocken",FALSE,FALSE,TRUE,"moderat"
"71",71,1810101,"2018-10-10",1,"Mittwoch","Herbst",10,0,17.1,"Brise","Trocken",FALSE,FALSE,TRUE,"moderat"
"72",72,1810111,"2018-10-11",1,"Donnerstag","Herbst",10,0,19.633333,"Brise","Trocken",FALSE,FALSE,TRUE,"moderat"
"73",73,1810121,"2018-10-12",1,"Freitag","Herbst",10,0,21.4125,"Brise","RegenGewitter",FALSE,FALSE,TRUE,"sommerlich"
"74",74,1810131,"2018-10-13",1,"Samstag","Herbst",10,3,17.1125,"Brise","RegenGewitter",FALSE,FALSE,TRUE,"moderat"
"75",75,1810141,"2018-10-14",1,"Sonntag","Herbst",10,0,17.1,"Brise","Trocken",FALSE,FALSE,TRUE,"moderat"
"76",76,1810151,"2018-10-15",1,"Montag","Herbst",10,0,20.7875,"Brise","Trocken",FALSE,FALSE,TRUE,"moderat"
"77",77,1810161,"2018-10-16",1,"Dienstag","Herbst",10,7,19.0625,"Brise","Trocken",FALSE,FALSE,TRUE,"moderat"
"78",78,1810171,"2018-10-17",1,"Mittwoch","Herbst",10,2,20.8375,"Brise","Trocken",FALSE,FALSE,TRUE,"moderat"
"79",79,1810181,"2018-10-18",1,"Donnerstag","Herbst",10,1,12.816666,"Wind","Trocken",FALSE,FALSE,TRUE,"moderat"
"80",80,1810191,"2018-10-19",1,"Freitag","Herbst",10,3,10.925,"Brise","Trocken",FALSE,FALSE,TRUE,"kalt"
"81",81,1810201,"2018-10-20",1,"Samstag","Herbst",10,6,10.675,"Wind","RegenGewitter",FALSE,FALSE,FALSE,"kalt"
"82",82,1810211,"2018-10-21",1,"Sonntag","Herbst",10,7,14.3,"Wind","RegenGewitter",FALSE,FALSE,FALSE,"moderat"
"83",83,1810221,"2018-10-22",1,"Montag","Herbst",10,2,11.1,"Wind","Trocken",FALSE,FALSE,FALSE,"moderat"
"84",84,1810231,"2018-10-23",1,"Dienstag","Herbst",10,7,11.925,"Sturm","RegenGewitter",FALSE,FALSE,FALSE,"moderat"
"85",85,1810241,"2018-10-24",1,"Mittwoch","Herbst",10,4,10.357142,"Wind","Trocken",FALSE,FALSE,FALSE,"kalt"
"86",86,1810251,"2018-10-25",1,"Donnerstag","Herbst",10,6,11.125,"Wind","RegenGewitter",FALSE,FALSE,FALSE,"moderat"
"87",87,1810261,"2018-10-26",1,"Freitag","Herbst",10,7,10.325,"Brise","RegenGewitter",FALSE,FALSE,FALSE,"kalt"
"88",88,1810271,"2018-10-27",1,"Samstag","Herbst",10,7,5.8375,"Wind","RegenGewitter",FALSE,FALSE,FALSE,"kalt"
"89",89,1810281,"2018-10-28",1,"Sonntag","Herbst",10,2,5.5875,"Wind","Trocken",FALSE,FALSE,FALSE,"kalt"
"90",90,1810291,"2018-10-29",1,"Montag","Herbst",10,7,7.3625,"Wind","RegenGewitter",FALSE,FALSE,FALSE,"kalt"
"91",91,1810301,"2018-10-30",1,"Dienstag","Herbst",10,7,10.6375,"Wind","RegenGewitter",FALSE,FALSE,FALSE,"kalt"
"92",92,1811011,"2018-11-01",1,"Donnerstag","Herbst",11,5,11.725,"Brise","Trocken",FALSE,FALSE,FALSE,"moderat"
"93",93,1811021,"2018-11-02",1,"Freitag","Herbst",11,6,10.675,"Wind","RegenGewitter",FALSE,FALSE,FALSE,"kalt"
"94",94,1811031,"2018-11-03",1,"Samstag","Herbst",11,0,8.7,"Brise","Trocken",FALSE,FALSE,FALSE,"kalt"
"95",95,1811041,"2018-11-04",1,"Sonntag","Herbst",11,8,8.225,"Brise","Trocken",FALSE,FALSE,FALSE,"kalt"
"96",96,1811051,"2018-11-05",1,"Montag","Herbst",11,8,10.4125,"Brise","Trocken",FALSE,FALSE,FALSE,"kalt"
"97",97,1811061,"2018-11-06",1,"Dienstag","Herbst",11,7,8.5375,"Brise","RegenGewitter",FALSE,FALSE,FALSE,"kalt"
"98",98,1811071,"2018-11-07",1,"Mittwoch","Herbst",11,1,11.0875,"Brise","RegenGewitter",FALSE,FALSE,FALSE,"moderat"
"99",99,1811081,"2018-11-08",1,"Donnerstag","Herbst",11,6,11.625,"Brise","RegenGewitter",FALSE,FALSE,FALSE,"moderat"
"100",100,1811091,"2018-11-09",1,"Freitag","Herbst",11,7,9.3,"Brise","RegenGewitter",FALSE,FALSE,FALSE,"kalt"
"101",101,1811101,"2018-11-10",1,"Samstag","Herbst",11,7,11.425,"Brise","RegenGewitter",FALSE,FALSE,FALSE,"moderat"
"102",102,1811111,"2018-11-11",1,"Sonntag","Herbst",11,7,12.2375,"Brise","RegenGewitter",FALSE,FALSE,FALSE,"moderat"
"103",103,1811121,"2018-11-12",1,"Montag","Herbst",11,7,10.5375,"Brise","RegenGewitter",FALSE,FALSE,FALSE,"kalt"
"104",104,1811131,"2018-11-13",1,"Dienstag","Herbst",11,7,10.325,"Brise","RegenGewitter",FALSE,FALSE,FALSE,"kalt"
"105",105,1811141,"2018-11-14",1,"Mittwoch","Herbst",11,7,8.4375,"Brise","Trocken",FALSE,FALSE,FALSE,"kalt"
"106",106,1811151,"2018-11-15",1,"Donnerstag","Herbst",11,2,10.35,"Brise","Trocken",FALSE,FALSE,FALSE,"kalt"
"107",107,1811161,"2018-11-16",1,"Freitag","Herbst",11,0,8.2625,"Brise","Trocken",FALSE,FALSE,FALSE,"kalt"
"108",108,1811171,"2018-11-17",1,"Samstag","Herbst",11,0,5.375,"Brise","Trocken",FALSE,FALSE,FALSE,"kalt"
"109",109,1811181,"2018-11-18",1,"Sonntag","Herbst",11,7,6.75,"Wind","Trocken",FALSE,FALSE,FALSE,"kalt"
"110",110,1811191,"2018-11-19",1,"Montag","Herbst",11,6,5.775,"Sturm","RegenGewitter",FALSE,FALSE,FALSE,"kalt"
"111",111,1811201,"2018-11-20",1,"Dienstag","Herbst",11,7,4.725,"Wind","RegenGewitter",FALSE,FALSE,FALSE,"kalt"
"112",112,1811211,"2018-11-21",1,"Mittwoch","Herbst",11,7,3.05,"Wind","Trocken",FALSE,FALSE,FALSE,"kalt"
"113",113,1811221,"2018-11-22",1,"Donnerstag","Herbst",11,8,1.5125,"Brise","RegenGewitter",FALSE,FALSE,FALSE,"kalt"
"114",114,1811231,"2018-11-23",1,"Freitag","Herbst",11,8,1.8875,"Brise","Trocken",FALSE,FALSE,FALSE,"kalt"
"115",115,1811241,"2018-11-24",1,"Samstag","Herbst",11,8,3.025,"Brise","Trocken",FALSE,FALSE,FALSE,"kalt"
"116",116,1811251,"2018-11-25",1,"Sonntag","Herbst",11,8,5.1625,"Wind","RegenGewitter",FALSE,FALSE,FALSE,"kalt"
"117",117,1811261,"2018-11-26",1,"Montag","Herbst",11,7,4.95,"Wind","RegenGewitter",FALSE,FALSE,FALSE,"kalt"
"118",118,1811271,"2018-11-27",1,"Dienstag","Herbst",11,8,2.1625,"Brise","RegenGewitter",FALSE,FALSE,FALSE,"kalt"
"119",119,1811281,"2018-11-28",1,"Mittwoch","Herbst",11,3,1.5,"Brise","Trocken",FALSE,FALSE,FALSE,"kalt"
"120",120,1811291,"2018-11-29",1,"Donnerstag","Herbst",11,7,3.3,"Brise","RegenGewitter",FALSE,FALSE,FALSE,"kalt"
"121",121,1811301,"2018-11-30",1,"Freitag","Herbst",11,5,7.8375,"Brise","RegenGewitter",FALSE,FALSE,FALSE,"kalt"
"122",122,1812011,"2018-12-01",1,"Samstag","Winter",12,7,7.1625,"Brise","RegenGewitter",FALSE,FALSE,FALSE,"kalt"
"123",123,1812021,"2018-12-02",1,"Sonntag","Winter",12,7,8.15,"Brise","RegenGewitter",FALSE,FALSE,FALSE,"kalt"
"124",124,1812031,"2018-12-03",1,"Montag","Winter",12,7,10.825,"Wind","RegenGewitter",FALSE,FALSE,FALSE,"kalt"
"125",125,1812041,"2018-12-04",1,"Dienstag","Winter",12,1,5.442857,"Wind","RegenGewitter",FALSE,FALSE,FALSE,"kalt"
"126",126,1812051,"2018-12-05",1,"Mittwoch","Winter",12,1,3.7375,"Brise","Trocken",FALSE,FALSE,FALSE,"kalt"
"127",127,1812061,"2018-12-06",1,"Donnerstag","Winter",12,7,6.725,"Brise","RegenGewitter",FALSE,FALSE,FALSE,"kalt"
"128",128,1812071,"2018-12-07",1,"Freitag","Winter",12,7,10.825,"Brise","RegenGewitter",FALSE,FALSE,FALSE,"kalt"
"129",129,1812081,"2018-12-08",1,"Samstag","Winter",12,8,7.475,"Wind","RegenGewitter",FALSE,FALSE,FALSE,"kalt"
"130",130,1812091,"2018-12-09",1,"Sonntag","Winter",12,7,6.95,"Wind","RegenGewitter",FALSE,FALSE,FALSE,"kalt"
"131",131,1812101,"2018-12-10",1,"Montag","Winter",12,5,4.9125,"Wind","RegenGewitter",FALSE,FALSE,FALSE,"kalt"
"132",132,1812111,"2018-12-11",1,"Dienstag","Winter",12,6,4.6375,"Wind","RegenGewitter",FALSE,FALSE,FALSE,"kalt"
"133",133,1812121,"2018-12-12",1,"Mittwoch","Winter",12,7,4.175,"Wind","RegenGewitter",FALSE,FALSE,FALSE,"kalt"
"134",134,1812131,"2018-12-13",1,"Donnerstag","Winter",12,7,2.925,"Brise","RegenGewitter",FALSE,FALSE,FALSE,"kalt"
"135",135,1812141,"2018-12-14",1,"Freitag","Winter",12,7,2.175,"Wind","RegenGewitter",FALSE,FALSE,FALSE,"kalt"
"136",136,1812151,"2018-12-15",1,"Samstag","Winter",12,7,0.5375,"Brise","Trocken",FALSE,FALSE,FALSE,"eisig"
"137",137,1812161,"2018-12-16",1,"Sonntag","Winter",12,7,0.2,"Brise","Trocken",FALSE,FALSE,FALSE,"eisig"
"138",138,1812171,"2018-12-17",1,"Montag","Winter",12,8,0.65,"Brise","RegenGewitter",FALSE,FALSE,FALSE,"eisig"
"139",139,1812181,"2018-12-18",1,"Dienstag","Winter",12,7,5.3125,"Brise","RegenGewitter",FALSE,FALSE,FALSE,"kalt"
"140",140,1812191,"2018-12-19",1,"Mittwoch","Winter",12,7,3.175,"Brise","RegenGewitter",FALSE,FALSE,FALSE,"kalt"
"141",141,1812201,"2018-12-20",1,"Donnerstag","Winter",12,7,4.8875,"Brise","RegenGewitter",FALSE,FALSE,FALSE,"kalt"
"142",142,1812211,"2018-12-21",1,"Freitag","Winter",12,7,6.1125,"Brise","RegenGewitter",FALSE,FALSE,TRUE,"kalt"
"143",143,1812221,"2018-12-22",1,"Samstag","Winter",12,8,4.3,"Brise","Trocken",FALSE,FALSE,TRUE,"kalt"
"144",144,1812231,"2018-12-23",1,"Sonntag","Winter",12,7,6.45,"Brise","RegenGewitter",FALSE,FALSE,TRUE,"kalt"
"145",145,1812241,"2018-12-24",1,"Montag","Winter",12,7,2.5,"Brise","RegenGewitter",FALSE,TRUE,TRUE,"kalt"
"146",146,1812271,"2018-12-27",1,"Donnerstag","Winter",12,7,7.125,"Wind","RegenGewitter",FALSE,FALSE,TRUE,"kalt"
"147",147,1812281,"2018-12-28",1,"Freitag","Winter",12,7,7.3125,"Wind","RegenGewitter",FALSE,FALSE,TRUE,"kalt"
"148",148,1812291,"2018-12-29",1,"Samstag","Winter",12,8,7.675,"Brise","RegenGewitter",FALSE,FALSE,TRUE,"kalt"
"149",149,1812301,"2018-12-30",1,"Sonntag","Winter",12,2,6.675,"Wind","RegenGewitter",FALSE,FALSE,TRUE,"kalt"
"150",150,1812311,"2018-12-31",1,"Montag","Winter",12,7,7.3875,"Wind","RegenGewitter",FALSE,TRUE,TRUE,"kalt"
"151",151,1901021,"2019-01-02",1,"Mittwoch","Winter",1,0,3.9125,"Wind","Trocken",FALSE,FALSE,TRUE,"kalt"
"152",152,1901031,"2019-01-03",1,"Donnerstag","Winter",1,2,0.725,"Brise","RegenGewitter",FALSE,FALSE,TRUE,"eisig"
"153",153,1901041,"2019-01-04",1,"Freitag","Winter",1,7,5.55,"Wind","RegenGewitter",FALSE,FALSE,TRUE,"kalt"
"154",154,1901051,"2019-01-05",1,"Samstag","Winter",1,5,7.85,"Brise","RegenGewitter",FALSE,FALSE,FALSE,"kalt"
"155",155,1901061,"2019-01-06",1,"Sonntag","Winter",1,7,3.65,"Brise","RegenGewitter",FALSE,FALSE,FALSE,"kalt"
"156",156,1901071,"2019-01-07",1,"Montag","Winter",1,8,5.9375,"Brise","RegenGewitter",FALSE,FALSE,FALSE,"kalt"
"157",157,1901081,"2019-01-08",1,"Dienstag","Winter",1,6,5.5,"Wind","RegenGewitter",FALSE,FALSE,FALSE,"kalt"
"158",158,1901091,"2019-01-09",1,"Mittwoch","Winter",1,7,3.1375,"Sturm","Trocken",FALSE,FALSE,FALSE,"kalt"
"159",159,1901101,"2019-01-10",1,"Donnerstag","Winter",1,7,1.4,"Brise","RegenGewitter",FALSE,FALSE,FALSE,"kalt"
"160",160,1901111,"2019-01-11",1,"Freitag","Winter",1,6,6.8625,"Wind","RegenGewitter",FALSE,FALSE,FALSE,"kalt"
"161",161,1901121,"2019-01-12",1,"Samstag","Winter",1,7,6.0875,"Wind","RegenGewitter",FALSE,FALSE,FALSE,"kalt"
"162",162,1901131,"2019-01-13",1,"Sonntag","Winter",1,7,7.6875,"Wind","RegenGewitter",FALSE,FALSE,FALSE,"kalt"
"163",163,1901141,"2019-01-14",1,"Montag","Winter",1,2,1.9375,"Wind","Trocken",FALSE,FALSE,FALSE,"kalt"
"164",164,1901151,"2019-01-15",1,"Dienstag","Winter",1,7,6.6625,"Wind","RegenGewitter",FALSE,FALSE,FALSE,"kalt"
"165",165,1901161,"2019-01-16",1,"Mittwoch","Winter",1,7,7.2125,"Wind","RegenGewitter",FALSE,FALSE,FALSE,"kalt"
"166",166,1901171,"2019-01-17",1,"Donnerstag","Winter",1,7,4.1875,"Wind","RegenGewitter",FALSE,FALSE,FALSE,"kalt"
"167",167,1901181,"2019-01-18",1,"Freitag","Winter",1,1,1.2625,"Brise","Trocken",FALSE,FALSE,FALSE,"kalt"
"168",168,1901191,"2019-01-19",1,"Samstag","Winter",1,2,0.925,"Brise","RegenGewitter",FALSE,FALSE,FALSE,"eisig"
"169",169,1901201,"2019-01-20",1,"Sonntag","Winter",1,1,0.85,"Brise","Trocken",FALSE,FALSE,FALSE,"eisig"
"170",170,1901211,"2019-01-21",1,"Montag","Winter",1,6,-0.425,"Brise","RegenGewitter",FALSE,FALSE,FALSE,"eisig"
"171",171,1901221,"2019-01-22",1,"Dienstag","Winter",1,5,0.1375,"Brise","Trocken",FALSE,FALSE,FALSE,"eisig"
"172",172,1901231,"2019-01-23",1,"Mittwoch","Winter",1,4,-3.075,"Brise","Trocken",FALSE,FALSE,FALSE,"eisig"
"173",173,1901241,"2019-01-24",1,"Donnerstag","Winter",1,8,-4.8125,"Brise","RegenGewitter",FALSE,FALSE,FALSE,"eisig"
"174",174,1901251,"2019-01-25",1,"Freitag","Winter",1,8,-3.3875,"Brise","RegenGewitter",FALSE,FALSE,FALSE,"eisig"
"175",175,1901261,"2019-01-26",1,"Samstag","Winter",1,7,3.8375,"Brise","RegenGewitter",FALSE,FALSE,FALSE,"kalt"
"176",176,1901271,"2019-01-27",1,"Sonntag","Winter",1,8,4.9375,"Brise","RegenGewitter",FALSE,FALSE,FALSE,"kalt"
"177",177,1901281,"2019-01-28",1,"Montag","Winter",1,8,2.75,"Brise","RegenGewitter",FALSE,FALSE,FALSE,"kalt"
"178",178,1901291,"2019-01-29",1,"Dienstag","Winter",1,6,1.575,"Brise","RegenGewitter",FALSE,FALSE,FALSE,"kalt"
"179",179,1901301,"2019-01-30",1,"Mittwoch","Winter",1,5,1.6,"Brise","RegenGewitter",FALSE,FALSE,FALSE,"kalt"
"180",180,1901311,"2019-01-31",1,"Donnerstag","Winter",1,7,1.4,"Brise","RegenGewitter",FALSE,FALSE,FALSE,"kalt"
"181",181,1902011,"2019-02-01",1,"Freitag","Winter",2,7,-0.075,"Wind","Trocken",FALSE,FALSE,FALSE,"eisig"
"182",182,1902021,"2019-02-02",1,"Samstag","Winter",2,8,1.7375,"Brise","Trocken",FALSE,FALSE,FALSE,"kalt"
"183",183,1902031,"2019-02-03",1,"Sonntag","Winter",2,1,2.5,"Brise","Trocken",FALSE,FALSE,FALSE,"kalt"
"184",184,1902041,"2019-02-04",1,"Montag","Winter",2,7,2.95,"Wind","RegenGewitter",FALSE,FALSE,FALSE,"kalt"
"185",185,1902051,"2019-02-05",1,"Dienstag","Winter",2,7,4.6375,"Wind","RegenGewitter",FALSE,FALSE,FALSE,"kalt"
"186",186,1902061,"2019-02-06",1,"Mittwoch","Winter",2,7,3.6625,"Wind","RegenGewitter",FALSE,FALSE,FALSE,"kalt"
"187",187,1902071,"2019-02-07",1,"Donnerstag","Winter",2,7,6.0375,"Brise","RegenGewitter",FALSE,FALSE,FALSE,"kalt"
"188",188,1902081,"2019-02-08",1,"Freitag","Winter",2,7,6.5,"Wind","RegenGewitter",FALSE,FALSE,FALSE,"kalt"
"189",189,1902091,"2019-02-09",1,"Samstag","Winter",2,7,7.4,"Wind","RegenGewitter",FALSE,FALSE,FALSE,"kalt"
"190",190,1902101,"2019-02-10",1,"Sonntag","Winter",2,7,5.125,"Brise","RegenGewitter",FALSE,FALSE,FALSE,"kalt"
"191",191,1902111,"2019-02-11",1,"Montag","Winter",2,2,5.9375,"Wind","Trocken",FALSE,FALSE,FALSE,"kalt"
